matchid,playername,playing_role,playing_team,playercost,total_points,pred_points_xgb,pred_points_catboost,pred_points_rf,pred_points_movingaverage,pred_points,pred_selection_rank,pred_selection_true,actual_selection_rank,actual_selection_true
829767,NM Coulter Nile,Bowler,Delhi Daredevils,9,224.0,26.900093,26.896821461057872,29.01263036921264,19.0,19.0,,,0.0,1.0
829767,SE Marsh,Batsmen,Kings XI Punjab,9,6.0,31.61785,34.7092007751841,32.88180838018907,33.0,33.0,8.0,1.0,,
829767,SN Thakur,Bowler,Kings XI Punjab,9,29.0,25.10008,26.429542087926983,27.35252451905836,,,,,7.0,1.0
829767,SS Iyer,Batsmen,Delhi Daredevils,9,111.0,35.30856,35.33944479169522,33.945313341526024,53.0,53.0,1.0,1.0,1.0,1.0
829767,SS Tiwary,Batsmen,Delhi Daredevils,9,7.0,25.1276,26.679789608987583,27.039283850742997,36.33333333,36.33333333,5.0,1.0,,
829767,Sandeep Sharma,Bowler,Kings XI Punjab,9,6.0,30.353962,30.24701209291821,30.073980460839287,21.33333333,21.33333333,,,,
829767,V Sehwag,Batsmen,Kings XI Punjab,9,1.0,32.232937,32.69738204817187,32.627730202045655,5.333333333,5.333333333,,,,
829767,WP Saha,Batsmen,Kings XI Punjab,9,3.0,27.138788,28.556904733278916,28.93821521163638,28.66666667,28.66666667,,,,
829767,Z Khan,Bowler,Delhi Daredevils,9,54.0,27.855715,28.566710045867516,28.8989355906754,25.66666667,25.66666667,,,3.0,1.0
829769,AM Rahane,Batsmen,Rajasthan Royals,9,21.0,39.641235,41.2461812173097,39.72217147355672,70.33333333,70.33333333,0.0,1.0,,
829769,AT Rayudu,Batsmen,Mumbai Indians,9,71.0,22.977327,23.099502407753985,27.41774631432151,14.0,14.0,,,2.0,1.0
829769,Ankit Sharma,Bowler,Rajasthan Royals,9,25.0,29.596874,29.145015162833754,29.357782089523933,57.33333333,57.33333333,2.0,1.0,,
829769,DJ Hooda,Batsmen,Rajasthan Royals,9,1.0,25.65597,26.2308206048454,26.61969835740102,12.33333333,12.33333333,,,,
829769,DS Kulkarni,Bowler,Rajasthan Royals,9,50.0,26.956121,27.820469867336165,28.963905853370463,30.0,30.0,8.0,1.0,3.0,1.0
829769,Harbhajan Singh,Bowler,Mumbai Indians,9,0.0,32.123093,33.28311097454692,33.004718172118274,27.0,27.0,9.0,1.0,,
829769,J Suchith,Bowler,Mumbai Indians,9,25.0,25.663857,25.896036821276528,26.94003450409246,10.33333333,10.33333333,,,,
829769,J Theron,Bowler,Rajasthan Royals,9,26.0,26.676144,27.25903485326835,28.470206306009292,26.33333333,26.33333333,,,,
829769,KA Pollard,AllRounder,Mumbai Indians,9,30.0,32.314598,30.92963943616683,34.47648783936224,17.33333333,17.33333333,,,7.0,1.0
