matchid,pred_points_player,actual_points_player,pred_selection_cnt,error,rewards_earned
548362,458.5,641.5,10.0,,0.0
548363,520.5,733.5,10.0,,0.0
548364,279.0,507.0,10.0,,0.0
548365,432.0,828.0,10.0,,0.0
548366,635.0,731.0,10.0,,0.0
548367,332.5,701.5,10.0,,0.0
548368,343.0,615.0,10.0,,0.0
548369,237.0,624.5,10.0,,0.0
548370,593.0,682.0,10.0,,0.0
548371,290.0,670.5,10.0,,0.0
548372,537.0,905.5,10.0,,0.0
548373,232.0,527.0,10.0,,0.0
548374,276.0,808.5,10.0,,0.0
548375,387.0,591.0,10.0,,0.0
548376,584.5,733.5,10.0,,0.0
548377,269.5,659.5,10.0,,0.0
548378,311.0,573.0,10.0,,0.0
548379,602.5,731.5,10.0,,0.0
548380,283.0,817.5,10.0,,0.0
548381,383.0,788.0,10.0,,0.0
597998,523.0,684.0,10.0,,0.0
597999,446.0,719.5,10.0,,0.0
598000,376.5,598.5,10.0,,0.0
598001,341.0,747.5,10.0,,0.0
598002,288.0,718.0,10.0,,0.0
598003,355.0,450.0,10.0,,0.0
598004,471.0,680.0,10.0,,0.0
598005,353.0,657.5,10.0,,0.0
598006,551.0,833.5,10.0,,0.0
598007,540.5,660.5,10.0,,0.0
598008,462.0,687.0,10.0,,0.0
598009,253.0,661.0,10.0,,0.0
598010,401.0,572.0,10.0,,0.0
598011,523.5,627.5,10.0,,0.0
598012,214.0,684.0,10.0,,0.0
598013,315.0,695.0,10.0,,0.0
598014,259.0,618.0,10.0,,0.0
598015,437.0,657.0,10.0,,0.0
598016,507.0,810.0,10.0,,0.0
598017,445.0,510.0,10.0,,0.0
598018,421.5,753.5,10.0,,0.0
598019,477.5,645.5,10.0,,0.0
598020,379.0,597.5,10.0,,0.0
598021,303.0,529.0,10.0,,0.0
598022,585.5,667.5,10.0,,0.0
598023,410.5,648.5,10.0,,0.0
598024,464.5,670.5,10.0,,0.0
598025,404.5,703.5,10.0,,0.0
598026,715.0,835.0,10.0,,0.0
598027,867.0,1029.0,10.0,,0.0
598028,350.0,638.5,10.0,,0.0
598029,385.5,642.5,10.0,,0.0
598030,635.0,686.0,10.0,,0.0
598031,446.5,629.5,10.0,,0.0
598032,569.5,801.5,10.0,,0.0
598033,568.5,740.5,10.0,,0.0
598034,610.0,744.0,10.0,,0.0
598035,255.0,595.0,10.0,,0.0
598036,526.0,726.0,10.0,,0.0
598037,461.0,727.5,10.0,,0.0
598038,410.5,584.5,10.0,,0.0
598039,388.0,553.0,10.0,,0.0
598040,253.0,520.0,10.0,,0.0
598041,662.0,784.0,10.0,,0.0
598042,367.0,747.0,10.0,,0.0
598043,316.0,550.5,10.0,,0.0
598044,337.0,531.0,10.0,,0.0
598045,652.5,798.5,10.0,,0.0
598046,399.5,686.5,10.0,,0.0
598047,457.0,682.0,10.0,,0.0
598048,488.0,695.5,10.0,,0.0
598049,476.0,607.0,10.0,,0.0
598050,498.5,611.5,10.0,,0.0
598051,689.5,860.5,10.0,,0.0
598052,533.0,680.0,10.0,,0.0
598053,383.0,691.0,10.0,,0.0
598054,499.0,813.5,10.0,,0.0
598055,247.0,537.0,10.0,,0.0
598056,591.5,693.5,10.0,,0.0
598057,546.5,682.5,10.0,,0.0
598058,412.0,657.5,10.0,,0.0
598059,329.0,525.0,10.0,,0.0
598060,181.0,635.0,10.0,,0.0
598061,224.0,637.5,10.0,,0.0
598062,252.0,673.5,10.0,,0.0
598063,375.0,637.0,10.0,,0.0
598064,466.0,746.0,10.0,,0.0
598065,561.0,798.5,10.0,,0.0
598066,721.5,841.5,10.0,,0.0
598067,260.0,730.5,10.0,,0.0
598068,474.5,556.5,10.0,,0.0
598069,384.5,552.5,10.0,,0.0
598070,549.0,796.5,10.0,,0.0
598071,228.0,610.0,10.0,,0.0
598072,514.0,659.0,10.0,,0.0
598073,666.0,851.0,10.0,,0.0
729279,543.0,788.0,10.0,,0.0
729281,405.0,601.0,10.0,,0.0
729283,458.5,819.5,10.0,,0.0
729285,221.0,609.5,10.0,,0.0
729287,327.0,549.0,10.0,,0.0
729289,360.5,624.5,10.0,,0.0
729291,541.0,681.0,10.0,,0.0
729293,340.0,639.0,10.0,,0.0
729295,460.0,816.0,10.0,,0.0
729297,251.0,689.5,10.0,,0.0
729299,456.5,619.5,10.0,,0.0
729301,350.0,668.0,10.0,,0.0
729303,197.5,684.5,10.0,,0.0
729305,284.5,609.5,10.0,,0.0
729307,485.0,690.0,10.0,,0.0
729309,353.0,468.0,10.0,,0.0
729311,548.5,685.5,10.0,,0.0
