date,matchid,innings,target,fallofwickets,ball,over,scorevalue,validball,extras,extratype,batsmanname,batsmanscorevalue,bowlername,nonstrikername,totalruns,dismissal,dismissedtype,dismissedplayer,battingteam,bowlingteam
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,91,15.1,4,0,0,Nan,F du Plessis,4,LH Ferguson,MM Ali,135,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,92,15.2,2,0,0,Nan,F du Plessis,2,LH Ferguson,MM Ali,137,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,93,15.3,0,0,0,Nan,F du Plessis,0,LH Ferguson,MM Ali,137,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,94,15.4,1,0,0,Nan,F du Plessis,1,LH Ferguson,MM Ali,138,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,95,15.5,0,0,0,Nan,MM Ali,0,LH Ferguson,F du Plessis,138,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,96,15.6,1,0,0,Nan,MM Ali,1,LH Ferguson,F du Plessis,139,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,97,16.1,6,0,0,Nan,MM Ali,6,Shivam Mavi,F du Plessis,145,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,98,16.2,0,0,0,Nan,MM Ali,0,Shivam Mavi,F du Plessis,145,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,99,16.3,1,0,0,Nan,MM Ali,1,Shivam Mavi,F du Plessis,146,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,100,16.4,0,0,0,Nan,F du Plessis,0,Shivam Mavi,MM Ali,146,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,101,16.5,1,0,0,Nan,F du Plessis,1,Shivam Mavi,MM Ali,147,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,102,16.6,6,0,0,Nan,MM Ali,6,Shivam Mavi,F du Plessis,153,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,103,17.1,1,0,0,Nan,F du Plessis,1,LH Ferguson,MM Ali,154,False,,,Chennai Super Kings,Kolkata Knight Riders
"0    2021-10-15
Name: date, dtype: object",1254117,1st innings,0,0,104,17.2,2,0,0,Nan,MM Ali,2,LH Ferguson,F du Plessis,156,False,,,Chennai Super Kings,Kolkata Knight Riders
