matchid,playername,total_runs,total_balls_faced,total_legal_balls_faced,run_6,run_4,fallofwickets,batsmen_innings,batsmen_battingteam,batsmen_bowlingteam,total_wickets,total_balls_bowled,total_legal_balls_bowled,total_runs_given,maiden_overs,bowlers_innings,bowler_battingteam,bowler_bowlingteam,economy_rate,playing_role,total_runs_points,run_6_points,run_4_points,run_bonus_points,total_bat_points,total_wickets_points,economy_rate_points,maiden_overs_points,wicket_bonus_points,total_bowl_points,total_points
1254095,Devdutt Padikkal,42.0,53.0,52.0,,4.0,0.0,2nd innings,Royal Challengers Bangalore,Sunrisers Hyderabad,,,,,,,,,,Batsmen,42.0,,4.0,0,46.0,,0,,0,,46.0
1254095,GJ Maxwell,41.0,26.0,26.0,2.0,3.0,0.0,2nd innings,Royal Challengers Bangalore,Sunrisers Hyderabad,,,,,,,,,,AllRounder,41.0,4.0,3.0,0,48.0,,0,,0,,48.0
1254095,George Garton,2.0,3.0,3.0,,,0.0,2nd innings,Royal Challengers Bangalore,Sunrisers Hyderabad,1.0,14.0,12.0,29.0,0.0,1st innings,Sunrisers Hyderabad,Royal Challengers Bangalore,14.5,Bowler,2.0,,,0,2.0,25.0,-6,0.0,0,19.0,21.0
1254095,JO Holder,16.0,13.0,13.0,,2.0,0.0,1st innings,Sunrisers Hyderabad,Royal Challengers Bangalore,1.0,26.0,24.0,28.0,0.0,2nd innings,Royal Challengers Bangalore,Sunrisers Hyderabad,7.0,Bowler,16.0,,2.0,0,18.0,25.0,0,0.0,0,25.0,43.0
1254095,Jason Roy,45.0,39.0,39.0,,5.0,0.0,1st innings,Sunrisers Hyderabad,Royal Challengers Bangalore,,,,,,,,,,Batsmen,45.0,,5.0,0,50.0,,0,,0,,50.0
1254095,KS Williamson,33.0,31.0,31.0,,4.0,0.0,1st innings,Sunrisers Hyderabad,Royal Challengers Bangalore,,,,,,,,,,Batsmen,33.0,,4.0,0,37.0,,0,,0,,37.0
1254095,P Garg,15.0,11.0,11.0,1.0,,0.0,1st innings,Sunrisers Hyderabad,Royal Challengers Bangalore,,,,,,,,,,Batsmen,15.0,2.0,,0,17.0,,0,,0,,17.0
1254095,Rashid Khan,8.0,9.0,8.0,,1.0,0.0,1st innings,Sunrisers Hyderabad,Royal Challengers Bangalore,1.0,24.0,24.0,39.0,0.0,2nd innings,Royal Challengers Bangalore,Sunrisers Hyderabad,9.75,Bowler,8.0,,1.0,0,9.0,25.0,-2,0.0,0,23.0,32.0
1254095,S Ahmed,14.0,9.0,9.0,,2.0,0.0,2nd innings,Royal Challengers Bangalore,Sunrisers Hyderabad,,24.0,24.0,21.0,0.0,1st innings,Sunrisers Hyderabad,Royal Challengers Bangalore,5.25,AllRounder,14.0,,2.0,0,16.0,,2,0.0,0,2.0,18.0
1254095,Srikar Bharat,13.0,10.0,10.0,1.0,1.0,0.0,2nd innings,Royal Challengers Bangalore,Sunrisers Hyderabad,,,,,,,,,,Batsmen,13.0,2.0,1.0,0,16.0,,0,,0,,16.0
1254095,V Kohli,5.0,4.0,4.0,,1.0,0.0,2nd innings,Royal Challengers Bangalore,Sunrisers Hyderabad,,,,,,,,,,Batsmen,5.0,,1.0,0,6.0,,0,,0,,6.0
1254095,WP Saha,10.0,8.0,8.0,,1.0,0.0,1st innings,Sunrisers Hyderabad,Royal Challengers Bangalore,,,,,,,,,,Batsmen,10.0,,1.0,0,11.0,,0,,0,,11.0
1254101,AB de Villiers,26.0,26.0,26.0,1.0,2.0,0.0,2nd innings,Royal Challengers Bangalore,Delhi Capitals,,,,,,,,,,Batsmen,26.0,2.0,2.0,0,30.0,,0,,0,,30.0
1254101,Devdutt Padikkal,0.0,1.0,1.0,,,1.0,2nd innings,Royal Challengers Bangalore,Delhi Capitals,,,,,,,,,,Batsmen,0.0,,,-2,-2.0,,0,,0,,-2.0
1254101,GJ Maxwell,53.0,34.0,33.0,,8.0,0.0,2nd innings,Royal Challengers Bangalore,Delhi Capitals,,20.0,19.0,29.0,0.0,1st innings,Delhi Capitals,Royal Challengers Bangalore,9.157894736842104,AllRounder,53.0,,8.0,8,69.0,,-2,0.0,0,-2.0,67.0
1254101,PP Shaw,51.0,33.0,33.0,2.0,4.0,0.0,1st innings,Delhi Capitals,Royal Challengers Bangalore,,,,,,,,,,Batsmen,51.0,4.0,4.0,8,67.0,,0,,0,,67.0
1254101,RR Pant,10.0,8.0,8.0,,1.0,0.0,1st innings,Delhi Capitals,Royal Challengers Bangalore,,,,,,,,,,Batsmen,10.0,,1.0,0,11.0,,0,,0,,11.0
1254101,Ripal Patel,9.0,9.0,8.0,,1.0,0.0,1st innings,Delhi Capitals,Royal Challengers Bangalore,,20.0,18.0,22.0,0.0,2nd innings,Royal Challengers Bangalore,Delhi Capitals,7.333333333333333,AllRounder,9.0,,1.0,0,10.0,,0,0.0,0,0.0,10.0
1254101,S Dhawan,45.0,35.0,35.0,2.0,3.0,0.0,1st innings,Delhi Capitals,Royal Challengers Bangalore,,,,,,,,,,Batsmen,45.0,4.0,3.0,0,52.0,,0,,0,,52.0
