matchid,playername,total_runs,total_balls_faced,total_legal_balls_faced,run_6,run_4,fallofwickets,batsmen_innings,batsmen_battingteam,batsmen_bowlingteam,total_wickets,total_balls_bowled,total_legal_balls_bowled,total_runs_given,maiden_overs,bowlers_innings,bowler_battingteam,bowler_bowlingteam,economy_rate,playing_role,total_runs_points,run_6_points,run_4_points,run_bonus_points,total_bat_points,total_wickets_points,economy_rate_points,maiden_overs_points,wicket_bonus_points,total_bowl_points,total_points
1216501,AT Rayudu,31.0,28.0,28.0,,3.0,0.0,2nd innings,Chennai Super Kings,Kolkata Knight Riders,,,,,,,,,,Batsmen,31.0,,3.0,0,34.0,,0,,0,,34.0
1216501,F du Plessis,17.0,10.0,10.0,,3.0,0.0,2nd innings,Chennai Super Kings,Kolkata Knight Riders,,,,,,,,,,Batsmen,17.0,,3.0,0,20.0,,0,,0,,20.0
1216501,KM Jadhav,7.0,12.0,12.0,,1.0,0.0,2nd innings,Chennai Super Kings,Kolkata Knight Riders,,,,,,,,,,Batsmen,7.0,,1.0,0,8.0,,0,,0,,8.0
1216501,MS Dhoni,12.0,12.0,12.0,,1.0,0.0,2nd innings,Chennai Super Kings,Kolkata Knight Riders,,,,,,,,,,Batsmen,12.0,,1.0,0,13.0,,0,,0,,13.0
1216501,RA Jadeja,21.0,8.0,8.0,1.0,3.0,0.0,2nd innings,Chennai Super Kings,Kolkata Knight Riders,,,,,,,,,,AllRounder,21.0,2.0,3.0,0,26.0,,0,,0,,26.0
1216501,SM Curran,17.0,11.0,11.0,1.0,1.0,0.0,2nd innings,Chennai Super Kings,Kolkata Knight Riders,,,,,,,,,,Bowler,17.0,2.0,1.0,0,20.0,,0,,0,,20.0
1216501,SR Watson,52.0,41.0,41.0,1.0,6.0,0.0,2nd innings,Chennai Super Kings,Kolkata Knight Riders,,,,,,,,,,Batsmen,52.0,2.0,6.0,8,68.0,,0,,0,,68.0
1216503,GJ Maxwell,12.0,19.0,19.0,,,0.0,2nd innings,Kings XI Punjab,Mumbai Indians,,,,,,,,,,AllRounder,12.0,,,0,12.0,,0,,0,,12.0
1216503,HH Pandya,30.0,11.0,11.0,2.0,3.0,0.0,1st innings,Mumbai Indians,Kings XI Punjab,,,,,,,,,,Batsmen,30.0,4.0,3.0,0,37.0,,0,,0,,37.0
1216503,Ishan Kishan,29.0,33.0,32.0,1.0,1.0,0.0,1st innings,Mumbai Indians,Kings XI Punjab,,,,,,,,,,Batsmen,29.0,2.0,1.0,0,32.0,,0,,0,,32.0
1216503,JDS Neesham,7.0,7.0,7.0,,,0.0,2nd innings,Kings XI Punjab,Mumbai Indians,,25.0,24.0,53.0,0.0,1st innings,Mumbai Indians,Kings XI Punjab,13.25,Bowler,7.0,,,0,7.0,,-6,0.0,0,-6.0,1.0
1216503,K Gowtham,22.0,13.0,13.0,1.0,2.0,0.0,2nd innings,Kings XI Punjab,Mumbai Indians,1.0,24.0,24.0,45.0,0.0,1st innings,Mumbai Indians,Kings XI Punjab,11.25,AllRounder,22.0,2.0,2.0,0,26.0,25.0,-6,0.0,0,19.0,45.0
1216503,KA Pollard,49.0,22.0,22.0,4.0,3.0,0.0,1st innings,Mumbai Indians,Kings XI Punjab,,,,,,,,,,AllRounder,49.0,8.0,3.0,0,60.0,,0,,0,,60.0
1216503,KK Nair,0.0,3.0,3.0,,,0.0,2nd innings,Kings XI Punjab,Mumbai Indians,,,,,,,,,,Batsmen,0.0,,,-2,-2.0,,0,,0,,-2.0
1216503,KL Rahul,17.0,19.0,19.0,,1.0,0.0,2nd innings,Kings XI Punjab,Mumbai Indians,,,,,,,,,,Batsmen,17.0,,1.0,0,18.0,,0,,0,,18.0
1216503,MA Agarwal,26.0,19.0,19.0,,3.0,0.0,2nd innings,Kings XI Punjab,Mumbai Indians,,,,,,,,,,Batsmen,26.0,,3.0,0,29.0,,0,,0,,29.0
1216503,Mohammed Shami,2.0,2.0,2.0,,,0.0,2nd innings,Kings XI Punjab,Mumbai Indians,1.0,26.0,24.0,36.0,0.0,1st innings,Mumbai Indians,Kings XI Punjab,9.0,Bowler,2.0,,,0,2.0,25.0,-2,0.0,0,23.0,25.0
1216503,N Pooran,48.0,30.0,28.0,2.0,3.0,0.0,2nd innings,Kings XI Punjab,Mumbai Indians,,,,,,,,,,Batsmen,48.0,4.0,3.0,0,55.0,,0,,0,,55.0
1216503,Q de Kock,0.0,5.0,5.0,,,0.0,1st innings,Mumbai Indians,Kings XI Punjab,,,,,,,,,,Batsmen,0.0,,,-2,-2.0,,0,,0,,-2.0
